Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Zion Williamson (13555756),Zion Williamson,13555756,PF/C/F/UTIL,8500,NO@SA 10/13/2019 04:00PM ET,NO,0
PG,Kemba Walker (13555760),Kemba Walker,13555760,PG/G/UTIL,8000,CLE@BOS 10/13/2019 03:00PM ET,BOS,43.79
PG/SG,Jrue Holiday (13555763),Jrue Holiday,13555763,PG/SG/G/UTIL,7500,NO@SA 10/13/2019 04:00PM ET,NO,43.60
PF/C,LaMarcus Aldridge (13555767),LaMarcus Aldridge,13555767,PF/C/F/UTIL,7100,NO@SA 10/13/2019 04:00PM ET,SA,39.88
SG/SF,DeMar DeRozan (13555771),DeMar DeRozan,13555771,SG/SF/F/G/UTIL,6900,NO@SA 10/13/2019 04:00PM ET,SA,40.10
PF/C,Kevin Love (13555776),Kevin Love,13555776,PF/C/F/UTIL,6700,CLE@BOS 10/13/2019 03:00PM ET,CLE,35.92
SF/PF,Jayson Tatum (13555791),Jayson Tatum,13555791,SF/PF/F/UTIL,6500,CLE@BOS 10/13/2019 03:00PM ET,BOS,30.14
PG,Lonzo Ball (13555780),Lonzo Ball,13555780,PG/G/UTIL,6200,NO@SA 10/13/2019 04:00PM ET,NO,28.35
PF/C,Larry Nance Jr. (13555783),Larry Nance Jr.,13555783,PF/C/F/UTIL,6000,CLE@BOS 10/13/2019 03:00PM ET,CLE,28.55
PG,Dejounte Murray (13555795),Dejounte Murray,13555795,PG/G/UTIL,5900,NO@SA 10/13/2019 04:00PM ET,SA,0
PG/SG,Collin Sexton (13555787),Collin Sexton,13555787,PG/SG/G/UTIL,5800,CLE@BOS 10/13/2019 03:00PM ET,CLE,25.62
SF/PF,Brandon Ingram (13555798),Brandon Ingram,13555798,SF/PF/F/UTIL,5600,NO@SA 10/13/2019 04:00PM ET,NO,30.51
SF,Gordon Hayward (13555802),Gordon Hayward,13555802,SF/F/UTIL,5400,CLE@BOS 10/13/2019 03:00PM ET,BOS,23.85
PF/C,Nicolo Melli (13555805),Nicolo Melli,13555805,PF/C/F/UTIL,5300,NO@SA 10/13/2019 04:00PM ET,NO,0
C,Tristan Thompson (13555813),Tristan Thompson,13555813,C/UTIL,5200,CLE@BOS 10/13/2019 03:00PM ET,CLE,28.69
PG/SG,Derrick White (13555809),Derrick White,13555809,PG/SG/G/UTIL,5200,NO@SA 10/13/2019 04:00PM ET,SA,23.63
SG/SF,Jaylen Brown (13555815),Jaylen Brown,13555815,SG/SF/F/G/UTIL,5100,CLE@BOS 10/13/2019 03:00PM ET,BOS,23.23
PG/SG,Jordan Clarkson (13555820),Jordan Clarkson,13555820,PG/SG/G/UTIL,5000,CLE@BOS 10/13/2019 03:00PM ET,CLE,26.44
PF/C,Robert Williams (13555941),Robert Williams,13555941,PF/C/F/UTIL,5000,CLE@BOS 10/13/2019 03:00PM ET,BOS,9.33
PF/C,Derrick Favors (13555835),Derrick Favors,13555835,PF/C/F/UTIL,5000,NO@SA 10/13/2019 04:00PM ET,NO,26.93
SF/PF,DeMarre Carroll (13555824),DeMarre Carroll,13555824,SF/PF/F/UTIL,4900,NO@SA 10/13/2019 04:00PM ET,SA,20.58
PG/SG,Nickeil Alexander-Walker (13555828),Nickeil Alexander-Walker,13555828,PG/SG/G/UTIL,4900,NO@SA 10/13/2019 04:00PM ET,NO,0
PG,Darius Garland (13555832),Darius Garland,13555832,PG/G/UTIL,4800,CLE@BOS 10/13/2019 03:00PM ET,CLE,0
SG/SF,JJ Redick (13555866),JJ Redick,13555866,SG/SF/F/G/UTIL,4700,NO@SA 10/13/2019 04:00PM ET,NO,26.24
SG/SF,E'Twaun Moore (13555936),E'Twaun Moore,13555936,SG/SF/F/G/UTIL,4700,NO@SA 10/13/2019 04:00PM ET,NO,19.80
PG/SG,Marcus Smart (13555858),Marcus Smart,13555858,PG/SG/G/UTIL,4600,CLE@BOS 10/13/2019 03:00PM ET,BOS,22.56
PG/SG,Frank Jackson (13555839),Frank Jackson,13555839,PG/SG/G/UTIL,4600,NO@SA 10/13/2019 04:00PM ET,NO,13.48
SF/PF,Grant Williams (13555851),Grant Williams,13555851,SF/PF/F/UTIL,4500,CLE@BOS 10/13/2019 03:00PM ET,BOS,0
PG,Javonte Green (13555855),Javonte Green,13555855,PG/G/UTIL,4500,CLE@BOS 10/13/2019 03:00PM ET,BOS,0
SF/PF,Rudy Gay (13555843),Rudy Gay,13555843,SF/PF/F/UTIL,4500,NO@SA 10/13/2019 04:00PM ET,SA,28.30
SF/PF,Kenrich Williams (13555847),Kenrich Williams,13555847,SF/PF/F/UTIL,4500,NO@SA 10/13/2019 04:00PM ET,NO,17.71
SF/PF,Cedi Osman (13555862),Cedi Osman,13555862,SF/PF/F/UTIL,4400,CLE@BOS 10/13/2019 03:00PM ET,CLE,24.79
PG/SG,Brandon Knight (13555876),Brandon Knight,13555876,PG/SG/G/UTIL,4400,CLE@BOS 10/13/2019 03:00PM ET,CLE,12.76
C,Enes Kanter (13555880),Enes Kanter,13555880,C/UTIL,4400,CLE@BOS 10/13/2019 03:00PM ET,BOS,29.65
PG,Carsen Edwards (13555882),Carsen Edwards,13555882,PG/G/UTIL,4400,CLE@BOS 10/13/2019 03:00PM ET,BOS,0
C,Tacko Fall (13555885),Tacko Fall,13555885,C/UTIL,4400,CLE@BOS 10/13/2019 03:00PM ET,BOS,0
PF/C,Daniel Theis (13555995),Daniel Theis,13555995,PF/C/F/UTIL,4400,CLE@BOS 10/13/2019 03:00PM ET,BOS,12.46
SG/SF,Josh Hart (13555871),Josh Hart,13555871,SG/SF/F/G/UTIL,4400,NO@SA 10/13/2019 04:00PM ET,NO,17.99
C,Jahlil Okafor (13555887),Jahlil Okafor,13555887,C/UTIL,4300,NO@SA 10/13/2019 04:00PM ET,NO,16.98
PG/SG,Patty Mills (13555889),Patty Mills,13555889,PG/SG/G/UTIL,4300,NO@SA 10/13/2019 04:00PM ET,SA,18.72
PF/C,Jaxson Hayes (13555893),Jaxson Hayes,13555893,PF/C/F/UTIL,4300,NO@SA 10/13/2019 04:00PM ET,NO,0
PG/SG,Bryn Forbes (13555926),Bryn Forbes,13555926,PG/SG/G/UTIL,4300,NO@SA 10/13/2019 04:00PM ET,SA,20.25
PG/SG,Brad Wanamaker (13555902),Brad Wanamaker,13555902,PG/SG/G/UTIL,4200,CLE@BOS 10/13/2019 03:00PM ET,BOS,7.99
SG/SF,Dylan Windler (13555906),Dylan Windler,13555906,SG/SF/F/G/UTIL,4200,CLE@BOS 10/13/2019 03:00PM ET,CLE,0
SG/SF,Lonnie Walker IV (13555897),Lonnie Walker IV,13555897,SG/SF/F/G/UTIL,4200,NO@SA 10/13/2019 04:00PM ET,SA,5.39
C,Jakob Poeltl (13555930),Jakob Poeltl,13555930,C/UTIL,4200,NO@SA 10/13/2019 04:00PM ET,SA,16.61
SG/SF,Keldon Johnson (13555952),Keldon Johnson,13555952,SG/SF/F/G/UTIL,4200,NO@SA 10/13/2019 04:00PM ET,SA,0
PG,Tremont Waters (13555920),Tremont Waters,13555920,PG/G/UTIL,4100,CLE@BOS 10/13/2019 03:00PM ET,BOS,0
SG,Max Strus (13555923),Max Strus,13555923,SG/G/UTIL,4100,CLE@BOS 10/13/2019 03:00PM ET,BOS,0
SG/SF,Romeo Langford (13556013),Romeo Langford,13556013,SG/SF/F/G/UTIL,4100,CLE@BOS 10/13/2019 03:00PM ET,BOS,0
SG/SF,Marco Belinelli (13555911),Marco Belinelli,13555911,SG/SF/F/G/UTIL,4100,NO@SA 10/13/2019 04:00PM ET,SA,17.16
SF/PF,Luka Samanic (13555916),Luka Samanic,13555916,SF/PF/F/UTIL,4100,NO@SA 10/13/2019 04:00PM ET,SA,0
SF/PF,Semi Ojeleye (13555957),Semi Ojeleye,13555957,SF/PF/F/UTIL,4000,CLE@BOS 10/13/2019 03:00PM ET,BOS,6.33
C,Ante Zizic (13555993),Ante Zizic,13555993,C/UTIL,4000,CLE@BOS 10/13/2019 03:00PM ET,CLE,16.68
C,John Henson (13555999),John Henson,13555999,C/UTIL,4000,CLE@BOS 10/13/2019 03:00PM ET,CLE,16.02
PG/SG,Matthew Dellavedova (13556001),Matthew Dellavedova,13556001,PG/SG/G/UTIL,4000,CLE@BOS 10/13/2019 03:00PM ET,CLE,13.95
C,Vincent Poirier (13556005),Vincent Poirier,13556005,C/UTIL,4000,CLE@BOS 10/13/2019 03:00PM ET,BOS,0
SF,Yante Maten (13556007),Yante Maten,13556007,SF/F/UTIL,4000,CLE@BOS 10/13/2019 03:00PM ET,BOS,3.88
SF,Kaiser Gates (13556010),Kaiser Gates,13556010,SF/F/UTIL,4000,CLE@BOS 10/13/2019 03:00PM ET,BOS,0
PF/C,Jarell Martin (13556018),Jarell Martin,13556018,PF/C/F/UTIL,4000,CLE@BOS 10/13/2019 03:00PM ET,CLE,6.15
SG/SF,Sindarius Thornwell (13556022),Sindarius Thornwell,13556022,SG/SF/F/G/UTIL,4000,CLE@BOS 10/13/2019 03:00PM ET,CLE,3.34
SG,J.P. Macura (13556027),J.P. Macura,13556027,SG/G/UTIL,4000,CLE@BOS 10/13/2019 03:00PM ET,CLE,6.38
SG/SF,Daniel Hamilton (13556030),Daniel Hamilton,13556030,SG/SF/F/G/UTIL,4000,CLE@BOS 10/13/2019 03:00PM ET,CLE,8.82
PG,Dean Wade (13556035),Dean Wade,13556035,PG/G/UTIL,4000,CLE@BOS 10/13/2019 03:00PM ET,CLE,0
SG,Timothe Luwawu-Cabarrot (13556038),Timothe Luwawu-Cabarrot,13556038,SG/G/UTIL,4000,CLE@BOS 10/13/2019 03:00PM ET,CLE,9.08
C,Marques Bolden (13556041),Marques Bolden,13556041,C/UTIL,4000,CLE@BOS 10/13/2019 03:00PM ET,CLE,0
SG/SF,Kevin Porter Jr. (13556043),Kevin Porter Jr.,13556043,SG/SF/F/G/UTIL,4000,CLE@BOS 10/13/2019 03:00PM ET,CLE,0
PF/C,Drew Eubanks (13555932),Drew Eubanks,13555932,PF/C/F/UTIL,4000,NO@SA 10/13/2019 04:00PM ET,SA,4.73
SG,Quinndary Weatherspoon (13555945),Quinndary Weatherspoon,13555945,SG/G/UTIL,4000,NO@SA 10/13/2019 04:00PM ET,SA,0
PF/C,Dedric Lawson (13555948),Dedric Lawson,13555948,PF/C/F/UTIL,4000,NO@SA 10/13/2019 04:00PM ET,SA,0
PF/C,Chimezie Metu (13555961),Chimezie Metu,13555961,PF/C/F/UTIL,4000,NO@SA 10/13/2019 04:00PM ET,SA,4.43
SF/PF,Daulton Hommes (13555965),Daulton Hommes,13555965,SF/PF/F/UTIL,4000,NO@SA 10/13/2019 04:00PM ET,SA,0
PF,Trey Lyles (13555969),Trey Lyles,13555969,PF/F/UTIL,4000,NO@SA 10/13/2019 04:00PM ET,SA,16.45
SF/PF,Darius Miller (13555972),Darius Miller,13555972,SF/PF/F/UTIL,4000,NO@SA 10/13/2019 04:00PM ET,NO,16.07
PG,Josh Gray (13555976),Josh Gray,13555976,PG/G/UTIL,4000,NO@SA 10/13/2019 04:00PM ET,NO,0
SG/SF,Javon Bess (13555979),Javon Bess,13555979,SG/SF/F/G/UTIL,4000,NO@SA 10/13/2019 04:00PM ET,NO,0
SF/PF,Zylan Cheatham (13555984),Zylan Cheatham,13555984,SF/PF/F/UTIL,4000,NO@SA 10/13/2019 04:00PM ET,NO,0
PG,Jalen Adams (13555988),Jalen Adams,13555988,PG/G/UTIL,4000,NO@SA 10/13/2019 04:00PM ET,NO,0
C,Kavell Bigby-Williams (13555991),Kavell Bigby-Williams,13555991,C/UTIL,4000,NO@SA 10/13/2019 04:00PM ET,NO,0
