Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
G,Carter Hart (15286183),Carter Hart,15286183,CPT,16800,NYI@PHI 09/05/2020 07:30PM ET,PHI,13.60
G,Brian Elliott (15286184),Brian Elliott,15286184,CPT,16500,NYI@PHI 09/05/2020 07:30PM ET,PHI,10.92
G,Semyon Varlamov (15286185),Semyon Varlamov,15286185,CPT,16200,NYI@PHI 09/05/2020 07:30PM ET,NYI,13.21
G,Thomas Greiss (15286186),Thomas Greiss,15286186,CPT,15900,NYI@PHI 09/05/2020 07:30PM ET,NYI,13.29
C,Mathew Barzal (15286187),Mathew Barzal,15286187,CPT,14700,NYI@PHI 09/05/2020 07:30PM ET,NYI,10.53
C,Brock Nelson (15286188),Brock Nelson,15286188,CPT,14100,NYI@PHI 09/05/2020 07:30PM ET,NYI,10.56
C,Sean Couturier (15286189),Sean Couturier,15286189,CPT,13800,NYI@PHI 09/05/2020 07:30PM ET,PHI,9.92
LW,Anders Lee (15286190),Anders Lee,15286190,CPT,13500,NYI@PHI 09/05/2020 07:30PM ET,NYI,10.34
C,Claude Giroux (15286191),Claude Giroux,15286191,CPT,12900,NYI@PHI 09/05/2020 07:30PM ET,PHI,9.66
C,Kevin Hayes (15286192),Kevin Hayes,15286192,CPT,12600,NYI@PHI 09/05/2020 07:30PM ET,PHI,9.21
LW,Anthony Beauvillier (15286193),Anthony Beauvillier,15286193,CPT,12300,NYI@PHI 09/05/2020 07:30PM ET,NYI,8.50
D,Ryan Pulock (15286194),Ryan Pulock,15286194,CPT,12000,NYI@PHI 09/05/2020 07:30PM ET,NYI,10.72
C,Jean-Gabriel Pageau (15286195),Jean-Gabriel Pageau,15286195,CPT,11700,NYI@PHI 09/05/2020 07:30PM ET,NYI,9.55
D,Ivan Provorov (15286196),Ivan Provorov,15286196,CPT,11400,NYI@PHI 09/05/2020 07:30PM ET,PHI,9.12
G,Carter Hart (15286099),Carter Hart,15286099,FLEX,11200,NYI@PHI 09/05/2020 07:30PM ET,PHI,13.60
RW,Jordan Eberle (15286197),Jordan Eberle,15286197,CPT,11100,NYI@PHI 09/05/2020 07:30PM ET,NYI,9.36
G,Brian Elliott (15286100),Brian Elliott,15286100,FLEX,11000,NYI@PHI 09/05/2020 07:30PM ET,PHI,10.92
G,Semyon Varlamov (15286101),Semyon Varlamov,15286101,FLEX,10800,NYI@PHI 09/05/2020 07:30PM ET,NYI,13.21
RW,Jakub Voracek (15286198),Jakub Voracek,15286198,CPT,10800,NYI@PHI 09/05/2020 07:30PM ET,PHI,8.27
G,Thomas Greiss (15286102),Thomas Greiss,15286102,FLEX,10600,NYI@PHI 09/05/2020 07:30PM ET,NYI,13.29
RW,Travis Konecny (15286199),Travis Konecny,15286199,CPT,10500,NYI@PHI 09/05/2020 07:30PM ET,PHI,9.45
RW,Josh Bailey (15286200),Josh Bailey,15286200,CPT,10200,NYI@PHI 09/05/2020 07:30PM ET,NYI,7.38
D,Devon Toews (15286201),Devon Toews,15286201,CPT,9900,NYI@PHI 09/05/2020 07:30PM ET,NYI,6.98
C,Mathew Barzal (15286103),Mathew Barzal,15286103,FLEX,9800,NYI@PHI 09/05/2020 07:30PM ET,NYI,10.53
D,Matt Niskanen (15286202),Matt Niskanen,15286202,CPT,9600,NYI@PHI 09/05/2020 07:30PM ET,PHI,7.23
C,Brock Nelson (15286104),Brock Nelson,15286104,FLEX,9400,NYI@PHI 09/05/2020 07:30PM ET,NYI,10.56
D,Adam Pelech (15286203),Adam Pelech,15286203,CPT,9300,NYI@PHI 09/05/2020 07:30PM ET,NYI,7.32
C,Sean Couturier (15286105),Sean Couturier,15286105,FLEX,9200,NYI@PHI 09/05/2020 07:30PM ET,PHI,9.92
LW,Anders Lee (15286106),Anders Lee,15286106,FLEX,9000,NYI@PHI 09/05/2020 07:30PM ET,NYI,10.34
LW,James van Riemsdyk (15286204),James van Riemsdyk,15286204,CPT,9000,NYI@PHI 09/05/2020 07:30PM ET,PHI,7.70
D,Travis Sanheim (15286205),Travis Sanheim,15286205,CPT,8700,NYI@PHI 09/05/2020 07:30PM ET,PHI,6.90
C,Claude Giroux (15286107),Claude Giroux,15286107,FLEX,8600,NYI@PHI 09/05/2020 07:30PM ET,PHI,9.66
C,Kevin Hayes (15286108),Kevin Hayes,15286108,FLEX,8400,NYI@PHI 09/05/2020 07:30PM ET,PHI,9.21
LW,Scott Laughton (15286206),Scott Laughton,15286206,CPT,8400,NYI@PHI 09/05/2020 07:30PM ET,PHI,6.92
LW,Anthony Beauvillier (15286109),Anthony Beauvillier,15286109,FLEX,8200,NYI@PHI 09/05/2020 07:30PM ET,NYI,8.50
LW,Joel Farabee (15286207),Joel Farabee,15286207,CPT,8100,NYI@PHI 09/05/2020 07:30PM ET,PHI,5.68
D,Ryan Pulock (15286110),Ryan Pulock,15286110,FLEX,8000,NYI@PHI 09/05/2020 07:30PM ET,NYI,10.72
C,Jean-Gabriel Pageau (15286111),Jean-Gabriel Pageau,15286111,FLEX,7800,NYI@PHI 09/05/2020 07:30PM ET,NYI,9.55
D,Andy Greene (15286208),Andy Greene,15286208,CPT,7800,NYI@PHI 09/05/2020 07:30PM ET,NYI,7.01
D,Ivan Provorov (15286112),Ivan Provorov,15286112,FLEX,7600,NYI@PHI 09/05/2020 07:30PM ET,PHI,9.12
D,Scott Mayfield (15286209),Scott Mayfield,15286209,CPT,7500,NYI@PHI 09/05/2020 07:30PM ET,NYI,6.71
G,Alex Lyon (15286210),Alex Lyon,15286210,CPT,7500,NYI@PHI 09/05/2020 07:30PM ET,PHI,8.83
G,Christopher Gibson (15286211),Christopher Gibson,15286211,CPT,7500,NYI@PHI 09/05/2020 07:30PM ET,NYI,0
G,Kirill Ustimenko (15286212),Kirill Ustimenko,15286212,CPT,7500,NYI@PHI 09/05/2020 07:30PM ET,PHI,0
G,Ilya Sorokin (15286213),Ilya Sorokin,15286213,CPT,7500,NYI@PHI 09/05/2020 07:30PM ET,NYI,0
G,Jakub Skarek (15286214),Jakub Skarek,15286214,CPT,7500,NYI@PHI 09/05/2020 07:30PM ET,NYI,0
RW,Jordan Eberle (15286113),Jordan Eberle,15286113,FLEX,7400,NYI@PHI 09/05/2020 07:30PM ET,NYI,9.36
RW,Jakub Voracek (15286114),Jakub Voracek,15286114,FLEX,7200,NYI@PHI 09/05/2020 07:30PM ET,PHI,8.27
D,Nick Leddy (15286215),Nick Leddy,15286215,CPT,7200,NYI@PHI 09/05/2020 07:30PM ET,NYI,6.15
RW,Travis Konecny (15286115),Travis Konecny,15286115,FLEX,7000,NYI@PHI 09/05/2020 07:30PM ET,PHI,9.45
LW,Oskar Lindblom (15286216),Oskar Lindblom,15286216,CPT,6900,NYI@PHI 09/05/2020 07:30PM ET,PHI,8.73
RW,Josh Bailey (15286116),Josh Bailey,15286116,FLEX,6800,NYI@PHI 09/05/2020 07:30PM ET,NYI,7.38
D,Devon Toews (15286117),Devon Toews,15286117,FLEX,6600,NYI@PHI 09/05/2020 07:30PM ET,NYI,6.98
D,Shayne Gostisbehere (15286217),Shayne Gostisbehere,15286217,CPT,6600,NYI@PHI 09/05/2020 07:30PM ET,PHI,6.03
D,Matt Niskanen (15286118),Matt Niskanen,15286118,FLEX,6400,NYI@PHI 09/05/2020 07:30PM ET,PHI,7.23
D,Philippe Myers (15286218),Philippe Myers,15286218,CPT,6300,NYI@PHI 09/05/2020 07:30PM ET,PHI,5.90
D,Adam Pelech (15286119),Adam Pelech,15286119,FLEX,6200,NYI@PHI 09/05/2020 07:30PM ET,NYI,7.32
LW,James van Riemsdyk (15286120),James van Riemsdyk,15286120,FLEX,6000,NYI@PHI 09/05/2020 07:30PM ET,PHI,7.70
D,Johnny Boychuk (15286219),Johnny Boychuk,15286219,CPT,6000,NYI@PHI 09/05/2020 07:30PM ET,NYI,6.77
D,Travis Sanheim (15286121),Travis Sanheim,15286121,FLEX,5800,NYI@PHI 09/05/2020 07:30PM ET,PHI,6.90
C,Derek Grant (15286220),Derek Grant,15286220,CPT,5700,NYI@PHI 09/05/2020 07:30PM ET,PHI,6.09
LW,Scott Laughton (15286122),Scott Laughton,15286122,FLEX,5600,NYI@PHI 09/05/2020 07:30PM ET,PHI,6.92
LW,Joel Farabee (15286123),Joel Farabee,15286123,FLEX,5400,NYI@PHI 09/05/2020 07:30PM ET,PHI,5.68
LW,Derick Brassard (15286221),Derick Brassard,15286221,CPT,5400,NYI@PHI 09/05/2020 07:30PM ET,NYI,6.32
D,Andy Greene (15286124),Andy Greene,15286124,FLEX,5200,NYI@PHI 09/05/2020 07:30PM ET,NYI,7.01
D,Justin Braun (15286222),Justin Braun,15286222,CPT,5100,NYI@PHI 09/05/2020 07:30PM ET,PHI,5.70
D,Scott Mayfield (15286125),Scott Mayfield,15286125,FLEX,5000,NYI@PHI 09/05/2020 07:30PM ET,NYI,6.71
G,Alex Lyon (15286126),Alex Lyon,15286126,FLEX,5000,NYI@PHI 09/05/2020 07:30PM ET,PHI,8.83
G,Christopher Gibson (15286127),Christopher Gibson,15286127,FLEX,5000,NYI@PHI 09/05/2020 07:30PM ET,NYI,0
G,Kirill Ustimenko (15286128),Kirill Ustimenko,15286128,FLEX,5000,NYI@PHI 09/05/2020 07:30PM ET,PHI,0
G,Ilya Sorokin (15286129),Ilya Sorokin,15286129,FLEX,5000,NYI@PHI 09/05/2020 07:30PM ET,NYI,0
G,Jakub Skarek (15286130),Jakub Skarek,15286130,FLEX,5000,NYI@PHI 09/05/2020 07:30PM ET,NYI,0
D,Nick Leddy (15286131),Nick Leddy,15286131,FLEX,4800,NYI@PHI 09/05/2020 07:30PM ET,NYI,6.15
RW,Nicolas Aube-Kubel (15286223),Nicolas Aube-Kubel,15286223,CPT,4800,NYI@PHI 09/05/2020 07:30PM ET,PHI,5.10
LW,Oskar Lindblom (15286132),Oskar Lindblom,15286132,FLEX,4600,NYI@PHI 09/05/2020 07:30PM ET,PHI,8.73
LW,Michael Raffl (15286224),Michael Raffl,15286224,CPT,4500,NYI@PHI 09/05/2020 07:30PM ET,PHI,5.06
D,Shayne Gostisbehere (15286133),Shayne Gostisbehere,15286133,FLEX,4400,NYI@PHI 09/05/2020 07:30PM ET,PHI,6.03
D,Philippe Myers (15286134),Philippe Myers,15286134,FLEX,4200,NYI@PHI 09/05/2020 07:30PM ET,PHI,5.90
C,Casey Cizikas (15286225),Casey Cizikas,15286225,CPT,4200,NYI@PHI 09/05/2020 07:30PM ET,NYI,5.02
D,Johnny Boychuk (15286135),Johnny Boychuk,15286135,FLEX,4000,NYI@PHI 09/05/2020 07:30PM ET,NYI,6.77
D,Robert Hagg (15286226),Robert Hagg,15286226,CPT,3900,NYI@PHI 09/05/2020 07:30PM ET,PHI,5.61
C,Derek Grant (15286136),Derek Grant,15286136,FLEX,3800,NYI@PHI 09/05/2020 07:30PM ET,PHI,6.09
LW,Derick Brassard (15286137),Derick Brassard,15286137,FLEX,3600,NYI@PHI 09/05/2020 07:30PM ET,NYI,6.32
RW,Tyler Pitlick (15286227),Tyler Pitlick,15286227,CPT,3600,NYI@PHI 09/05/2020 07:30PM ET,PHI,4.74
D,Justin Braun (15286138),Justin Braun,15286138,FLEX,3400,NYI@PHI 09/05/2020 07:30PM ET,PHI,5.70
C,Nate Thompson (15286228),Nate Thompson,15286228,CPT,3300,NYI@PHI 09/05/2020 07:30PM ET,PHI,3.88
RW,Nicolas Aube-Kubel (15286139),Nicolas Aube-Kubel,15286139,FLEX,3200,NYI@PHI 09/05/2020 07:30PM ET,PHI,5.10
LW,Michael Raffl (15286140),Michael Raffl,15286140,FLEX,3000,NYI@PHI 09/05/2020 07:30PM ET,PHI,5.06
D,Thomas Hickey (15286229),Thomas Hickey,15286229,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,NYI,0
D,Noah Dobson (15286230),Noah Dobson,15286230,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,NYI,4.13
D,Mark Friedman (15286231),Mark Friedman,15286231,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,PHI,2.42
D,Andy Welinski (15286232),Andy Welinski,15286232,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,PHI,0
D,Egor Zamula (15286233),Egor Zamula,15286233,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,PHI,0
D,Sebastian Aho (15286234),Sebastian Aho,15286234,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,NYI,0
LW,Michael Dal Colle (15286235),Michael Dal Colle,15286235,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,NYI,3.41
C,Andrew Ladd (15286236),Andrew Ladd,15286236,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,NYI,4
LW,Tom Kuhnhackl (15286237),Tom Kuhnhackl,15286237,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,NYI,4.00
RW,Andy Andreoff (15286238),Andy Andreoff,15286238,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,PHI,2.23
RW,Ross Johnston (15286239),Ross Johnston,15286239,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,NYI,2.19
C,Morgan Frost (15286240),Morgan Frost,15286240,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,PHI,4.78
C,Otto Koivula (15286241),Otto Koivula,15286241,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,NYI,0.93
RW,Connor Bunnaman (15286242),Connor Bunnaman,15286242,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,PHI,1.90
RW,Leo Komarov (15286243),Leo Komarov,15286243,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,NYI,4.28
RW,Cal Clutterbuck (15286244),Cal Clutterbuck,15286244,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,NYI,4.17
LW,Matt Martin (15286245),Matt Martin,15286245,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,NYI,3.40
C,Nolan Patrick (15286246),Nolan Patrick,15286246,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,PHI,0
RW,Kieffer Bellows (15286247),Kieffer Bellows,15286247,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,NYI,5.46
LW,Matthew Strome (15286248),Matthew Strome,15286248,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,PHI,0
D,Jordan Schmaltz (15286249),Jordan Schmaltz,15286249,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,NYI,0
RW,Joshua Ho-Sang (15286250),Joshua Ho-Sang,15286250,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,NYI,0
D,Samuel Morin (15286251),Samuel Morin,15286251,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,PHI,0
C,Cole Bardreau (15286252),Cole Bardreau,15286252,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,NYI,2.98
C,German Rubtsov (15286253),German Rubtsov,15286253,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,PHI,1.68
D,Grant Hutton (15286254),Grant Hutton,15286254,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,NYI,0
RW,Travis St. Denis (15286255),Travis St. Denis,15286255,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,NYI,0
C,Mason Jobst (15286256),Mason Jobst,15286256,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,NYI,0
RW,Maxim Sushko (15286257),Maxim Sushko,15286257,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,PHI,0
LW,Carsen Twarynski (15286258),Carsen Twarynski,15286258,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,PHI,2.66
D,Seth Helgeson (15286259),Seth Helgeson,15286259,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,NYI,0
C,Tanner Fritz (15286260),Tanner Fritz,15286260,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,NYI,0
D,Nate Prosser (15286261),Nate Prosser,15286261,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,PHI,0
C,Mikhail S. Vorobyov (15286262),Mikhail S. Vorobyov,15286262,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,PHI,2.24
LW,David Kase (15286263),David Kase,15286263,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,PHI,2.88
RW,Chris Stewart (15286264),Chris Stewart,15286264,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,PHI,1.11
RW,Oliver Wahlstrom (15286265),Oliver Wahlstrom,15286265,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,NYI,2.08
RW,Simon Holmstrom (15286266),Simon Holmstrom,15286266,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,NYI,0
C,Casey Cizikas (15286141),Casey Cizikas,15286141,FLEX,2800,NYI@PHI 09/05/2020 07:30PM ET,NYI,5.02
D,Robert Hagg (15286142),Robert Hagg,15286142,FLEX,2600,NYI@PHI 09/05/2020 07:30PM ET,PHI,5.61
RW,Tyler Pitlick (15286143),Tyler Pitlick,15286143,FLEX,2400,NYI@PHI 09/05/2020 07:30PM ET,PHI,4.74
C,Nate Thompson (15286144),Nate Thompson,15286144,FLEX,2200,NYI@PHI 09/05/2020 07:30PM ET,PHI,3.88
D,Thomas Hickey (15286145),Thomas Hickey,15286145,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,NYI,0
D,Noah Dobson (15286146),Noah Dobson,15286146,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,NYI,4.13
D,Mark Friedman (15286147),Mark Friedman,15286147,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,PHI,2.42
D,Andy Welinski (15286148),Andy Welinski,15286148,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,PHI,0
D,Egor Zamula (15286149),Egor Zamula,15286149,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,PHI,0
D,Sebastian Aho (15286150),Sebastian Aho,15286150,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,NYI,0
LW,Michael Dal Colle (15286151),Michael Dal Colle,15286151,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,NYI,3.41
C,Andrew Ladd (15286152),Andrew Ladd,15286152,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,NYI,4
LW,Tom Kuhnhackl (15286153),Tom Kuhnhackl,15286153,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,NYI,4.00
RW,Andy Andreoff (15286154),Andy Andreoff,15286154,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,PHI,2.23
RW,Ross Johnston (15286155),Ross Johnston,15286155,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,NYI,2.19
C,Morgan Frost (15286156),Morgan Frost,15286156,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,PHI,4.78
C,Otto Koivula (15286157),Otto Koivula,15286157,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,NYI,0.93
RW,Connor Bunnaman (15286158),Connor Bunnaman,15286158,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,PHI,1.90
RW,Leo Komarov (15286159),Leo Komarov,15286159,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,NYI,4.28
RW,Cal Clutterbuck (15286160),Cal Clutterbuck,15286160,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,NYI,4.17
LW,Matt Martin (15286161),Matt Martin,15286161,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,NYI,3.40
C,Nolan Patrick (15286162),Nolan Patrick,15286162,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,PHI,0
RW,Kieffer Bellows (15286163),Kieffer Bellows,15286163,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,NYI,5.46
LW,Matthew Strome (15286164),Matthew Strome,15286164,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,PHI,0
D,Jordan Schmaltz (15286165),Jordan Schmaltz,15286165,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,NYI,0
RW,Joshua Ho-Sang (15286166),Joshua Ho-Sang,15286166,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,NYI,0
D,Samuel Morin (15286167),Samuel Morin,15286167,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,PHI,0
C,Cole Bardreau (15286168),Cole Bardreau,15286168,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,NYI,2.98
C,German Rubtsov (15286169),German Rubtsov,15286169,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,PHI,1.68
D,Grant Hutton (15286170),Grant Hutton,15286170,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,NYI,0
RW,Travis St. Denis (15286171),Travis St. Denis,15286171,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,NYI,0
C,Mason Jobst (15286172),Mason Jobst,15286172,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,NYI,0
RW,Maxim Sushko (15286173),Maxim Sushko,15286173,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,PHI,0
LW,Carsen Twarynski (15286174),Carsen Twarynski,15286174,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,PHI,2.66
D,Seth Helgeson (15286175),Seth Helgeson,15286175,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,NYI,0
C,Tanner Fritz (15286176),Tanner Fritz,15286176,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,NYI,0
D,Nate Prosser (15286177),Nate Prosser,15286177,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,PHI,0
C,Mikhail S. Vorobyov (15286178),Mikhail S. Vorobyov,15286178,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,PHI,2.24
LW,David Kase (15286179),David Kase,15286179,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,PHI,2.88
RW,Chris Stewart (15286180),Chris Stewart,15286180,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,PHI,1.11
RW,Oliver Wahlstrom (15286181),Oliver Wahlstrom,15286181,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,NYI,2.08
RW,Simon Holmstrom (15286182),Simon Holmstrom,15286182,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,NYI,0
